#v(km/h),   acc(m/s^2),  forceMech(N), powMech(kW), fuelFlow(l/h), consump(liters/100km), Gear
8.00, 1.79, 4309.60, 11.076894, 2.29058, 28.63219, 1
8.00, 1.86, 4465.16, 11.422573, 2.32989, 29.12358, 1
8.00, 1.93, 4620.71, 11.768252, 2.36969, 29.62115, 1
8.00, 2.00, 4776.27, 12.113931, 2.40996, 30.12450, 1
8.00, 2.06, 4909.60, 12.410227, 2.44482, 30.56024, 1
8.00, 2.13, 5065.16, 12.755906, 2.48586, 31.07331, 1
8.00, 2.20, 5220.71, 13.101585, 2.52729, 31.59111, 1
8.00, 2.26, 5354.05, 13.397882, 2.56308, 32.03844, 1
8.00, 2.33, 5509.60, 13.743561, 2.60513, 32.56416, 1
8.00, 2.40, 5665.16, 14.089240, 2.64750, 33.09372, 1
8.00, 2.46, 5798.49, 14.385536, 2.68404, 33.55047, 1
8.00, 2.53, 5954.05, 14.731215, 2.72691, 34.08644, 1
8.00, 2.60, 6109.60, 15.076894, 2.77004, 34.62550, 1
8.00, 2.66, 6242.94, 15.373190, 2.80719, 35.08985, 1
8.00, 2.73, 6398.49, 15.718869, 2.85073, 35.63408, 1
8.00, 2.80, 6554.05, 16.064548, 2.89446, 36.18080, 1
8.00, 2.86, 6687.38, 16.360845, 2.93210, 36.65124, 1
8.00, 2.93, 6842.94, 16.706524, 2.97617, 37.20209, 1
8.00, 3.00, 6998.49, 17.052203, 3.02039, 37.75492, 1

10.00, -1.00, -2359.60, 0.000000, 0.46560, 4.65605, 2
10.00, -0.93, -2165.16, 0.000000, 0.65483, 6.54828, 2
10.00, -0.86, -1970.72, 0.000000, 0.79435, 7.94346, 2
10.00, -0.80, -1804.05, 0.000000, 0.88373, 8.83727, 2
10.00, -0.73, -1609.60, 0.000000, 0.96143, 9.61435, 2
10.00, -0.66, -1415.16, 0.000000, 1.01791, 10.17911, 2
10.00, -0.60, -1248.49, 0.000000, 1.05408, 10.54082, 2
10.00, -0.53, -1054.05, 0.000000, 1.08625, 10.86251, 2
10.00, -0.46, -859.60, 0.000000, 1.11116, 11.11164, 2
10.00, -0.40, -692.94, 0.000000, 1.12893, 11.28929, 2
10.00, -0.33, -498.49, 0.115295, 1.14741, 11.47406, 2
10.00, -0.26, -304.05, 0.655418, 1.16502, 11.65023, 2
10.00, -0.19, -109.60, 1.195542, 1.18299, 11.82986, 2
10.00, -0.13, 57.06, 1.658505, 1.19931, 11.99311, 2
